"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
128;128;75;"Renio";"Re";4;"IV";"Re1O2";"ReO_{2}";"Óxido Rénico";"Óxido de Renio (IV)";"DiÓxido de MonoRenio";"2Re + O_{2} \rightarrow 2ReO_{2}";"75 - Re - Renio"
129;129;75;"Renio";"Re";6;"VI";"Re1O3";"ReO_{3}";"Óxido PerRénico";"Óxido de Renio (VI)";"TriÓxido de MonoRenio";"2Re + O_{2} \rightarrow 2ReO_{3}";"75 - Re - Renio"
130;130;75;"Renio";"Re";7;"VII";"Re2O7";"Re_{2}O_{7}";"Óxido ???Rénico???";"Óxido de Renio (VII)";"HeptaÓxido de DiRenio";"2Re + O_{2} \rightarrow Re_{2}O_{7}";"75 - Re - Renio"
131;131;76;"Osmio";"Os";2;"II";"Os1O1";"OsO";"Óxido HipoOsmioso";"Óxido de Osmio (II)";"MonÓxido de MonoOsmio";"2Os + O_{2} \rightarrow 2OsO";"76 - Os - Osmio"
132;132;76;"Osmio";"Os";3;"III";"Os2O3";"Os_{2}O_{3}";"Óxido Osmioso";"Óxido de Osmio (III)";"TriÓxido de DiOsmio";"2Os + O_{2} \rightarrow Os_{2}O_{3}";"76 - Os - Osmio"
133;133;76;"Osmio";"Os";4;"IV";"Os1O2";"OsO_{2}";"Óxido Ósmico";"Óxido de Osmio (IV)";"DiÓxido de MonoOsmio";"2Os + O_{2} \rightarrow 2OsO_{2}";"76 - Os - Osmio"
134;134;76;"Osmio";"Os";6;"VI";"Os1O3";"OsO_{3}";"Óxido PerÓsmico";"Óxido de Osmio (VI)";"TriÓxido de MonoOsmio";"2Os + O_{2} \rightarrow 2OsO_{3}";"76 - Os - Osmio"
135;135;76;"Osmio";"Os";8;"VIII";"Os1O4";"OsO_{4}";"Óxido SuperÓsmico???";"Óxido de Osmio (VIII)";"TetraÓxido de MonoOsmio";"2Os + O_{2} \rightarrow 2OsO_{4}";"76 - Os - Osmio"
136;136;77;"Iridio";"Ir";2;"II";"Ir1O1";"IrO";"Óxido HipoIridioso";"Óxido de Iridio (II)";"MonÓxido de MonoIridio";"2Ir + O_{2} \rightarrow 2IrO";"77 - Ir - Iridio"
137;137;77;"Iridio";"Ir";3;"III";"Ir2O3";"Ir_{2}O_{3}";"Óxido Iridioso";"Óxido de Iridio (III)";"TriÓxido de DiIridio";"2Ir + O_{2} \rightarrow Ir_{2}O_{3}";"77 - Ir - Iridio"
138;138;77;"Iridio";"Ir";4;"IV";"Ir1O2";"IrO_{2}";"Óxido Irídico";"Óxido de Iridio (IV)";"DiÓxido de MonoIridio";"2Ir + O_{2} \rightarrow 2IrO_{2}";"77 - Ir - Iridio"
139;139;77;"Iridio";"Ir";6;"VI";"Ir1O3";"IrO_{3}";"Óxido PerIrídico";"Óxido de Iridio (VI)";"TriÓxido de MonoIridio";"2Ir + O_{2} \rightarrow 2IrO_{3}";"77 - Ir - Iridio"
140;140;78;"Platino";"Pt";2;"II";"Pt1O1";"PtO";"Óxido Platinoso";"Óxido de Platino (II)";"MonÓxido de MonoPlatino";"2Pt + O_{2} \rightarrow 2PtO";"78 - Pt - Platino"
141;141;78;"Platino";"Pt";4;"IV";"Pt1O2";"PtO_{2}";"Óxido Platítico";"Óxido de Platino (IV)";"DiÓxido de MonoPlatino";"2Pt + O_{2} \rightarrow 2PtO_{2}";"78 - Pt - Platino"
142;142;79;"Oro";"Au";1;"I";"Au2O1";"Au_{2}O";"Óxido Auroso";"Óxido de Oro (I)";"MonÓxido de DiOro";"2Au + O_{2} \rightarrow Au_{2}O";"79 - Au - Oro"
143;143;79;"Oro";"Au";3;"III";"Au2O3";"Au_{2}O_{3}";"Óxido Áurico";"Óxido de Oro (III)";"TriÓxido de DiOro";"2Au + O_{2} \rightarrow Au_{2}O_{3}";"79 - Au - Oro"
