"orden_data01";"orden_hidroxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
150;122;83;"Bismuto";"Bi";3;"III";"Bi1(OH)3";"Bi(OH)_{3}";"Hidróxido Bismutoso";"Hidŕoxido de Bismuto (III)";"TriHidróxido de MonoBismuto";"Bi_{2}O_{3} + 3H_{2}O \rightarrow 2Bi(OH)_{3}";"83 - Bi - Bismuto"
151;123;83;"Bismuto";"Bi";5;"V";"Bi1(OH)5";"Bi(OH)_{5}";"Hidróxido Bismútico";"Hidŕoxido de Bismuto (V)";"PentaHidróxido de MonoBismuto";"Bi_{2}O_{5} + 5H_{2}O \rightarrow 2Bi(OH)_{5}";"83 - Bi - Bismuto"
152;124;84;"Polonio";"Po";2;"II";"Po1(OH)2";"Po(OH)_{2}";"Hidróxido Polonioso";"Hidŕoxido de Polonio (II)";"DiHidróxido de MonoPolonio";"PoO + H_{2}O \rightarrow Po(OH)_{2}";"84 - Po - Polonio"
153;125;84;"Polonio";"Po";4;"IV";"Po1(OH)4";"Po(OH)_{4}";"Hidróxido Polónico";"Hidŕoxido de Polonio (IV)";"TetraHidróxido de MonoPolonio";"PoO_{2} + 2H_{2}O \rightarrow Po(OH)_{4}";"84 - Po - Polonio"
158;126;87;"Francio";"Fr";1;"I";"Fr1(OH)1";"Fr(OH)";"Hidróxido de Francio";"Hidŕoxido de Francio (I)";"MonHidróxido de MonoFrancio";"Fr_{2}O + H_{2}O \rightarrow 2Fr(OH)";"87 - Fr - Francio"
159;127;88;"Radio";"Ra";2;"II";"Ra1(OH)2";"Ra(OH)_{2}";"Hidróxido de Radio";"Hidŕoxido de Radio (II)";"DiHidróxido de MonoRadio";"RaO + H_{2}O \rightarrow Ra(OH)_{2}";"88 - Ra - Radio"
160;128;89;"Actinio";"Ac";3;"III";"Ac1(OH)3";"Ac(OH)_{3}";"Hidróxido de Actinio";"Hidŕoxido de Actinio (III)";"TriHidróxido de MonoActinio";"Ac_{2}O_{3} + 3H_{2}O \rightarrow 2Ac(OH)_{3}";"89 - Ac - Actinio"
161;129;90;"Torio";"Th";4;"IV";"Th1(OH)4";"Th(OH)_{4}";"Hidróxido de Torio";"Hidŕoxido de Torio (IV)";"TetraHidróxido de MonoTorio";"ThO_{2} + 2H_{2}O \rightarrow Th(OH)_{4}";"90 - Th - Torio"
162;130;91;"Protactinio";"Pa";4;"IV";"Pa1(OH)4";"Pa(OH)_{4}";"Hidróxido Protactinioso";"Hidŕoxido de Protactinio (IV)";"TetraHidróxido de MonoProtactinio";"PaO_{2} + 2H_{2}O \rightarrow Pa(OH)_{4}";"91 - Pa - Protactinio"
163;131;91;"Protactinio";"Pa";5;"V";"Pa1(OH)5";"Pa(OH)_{5}";"Hidróxido Protactínico";"Hidŕoxido de Protactinio (V)";"PentaHidróxido de MonoProtactinio";"Pa_{2}O_{5} + 5H_{2}O \rightarrow 2Pa(OH)_{5}";"91 - Pa - Protactinio"
164;132;92;"Uranio";"U";3;"III";"U1(OH)3";"U(OH)_{3}";"Hidróxido HipoUranoso";"Hidŕoxido de Uranio (III)";"TriHidróxido de MonoUranio";"U_{2}O_{3} + 3H_{2}O \rightarrow 2U(OH)_{3}";"92 - U - Uranio"
165;133;92;"Uranio";"U";4;"IV";"U1(OH)4";"U(OH)_{4}";"Hidróxido Uranoso";"Hidŕoxido de Uranio (IV)";"TetraHidróxido de MonoUranio";"UO_{2} + 2H_{2}O \rightarrow U(OH)_{4}";"92 - U - Uranio"
166;134;92;"Uranio";"U";5;"V";"U1(OH)5";"U(OH)_{5}";"Hidróxido Uránico";"Hidŕoxido de Uranio (V)";"PentaHidróxido de MonoUranio";"U_{2}O_{5} + 5H_{2}O \rightarrow 2U(OH)_{5}";"92 - U - Uranio"
167;135;92;"Uranio";"U";6;"VI";"U1(OH)6";"U(OH)_{6}";"Hidróxido PerUránico";"Hidŕoxido de Uranio (VI)";"HexaHidróxido de MonoUranio";"UO_{3} + 3H_{2}O \rightarrow U(OH)_{6}";"92 - U - Uranio"
168;136;93;"Neptunio";"Np";3;"III";"Np1(OH)3";"Np(OH)_{3}";"Hidróxido HipoNeptunioso";"Hidŕoxido de Neptunio (III)";"TriHidróxido de MonoNeptunio";"Np_{2}O_{3} + 3H_{2}O \rightarrow 2Np(OH)_{3}";"93 - Np - Neptunio"
169;137;93;"Neptunio";"Np";4;"IV";"Np1(OH)4";"Np(OH)_{4}";"Hidróxido Neptunioso";"Hidŕoxido de Neptunio (IV)";"TetraHidróxido de MonoNeptunio";"NpO_{2} + 2H_{2}O \rightarrow Np(OH)_{4}";"93 - Np - Neptunio"
170;138;93;"Neptunio";"Np";5;"V";"Np1(OH)5";"Np(OH)_{5}";"Hidróxido Neptúnico";"Hidŕoxido de Neptunio (V)";"PentaHidróxido de MonoNeptunio";"Np_{2}O_{5} + 5H_{2}O \rightarrow 2Np(OH)_{5}";"93 - Np - Neptunio"
171;139;93;"Neptunio";"Np";6;"VI";"Np1(OH)6";"Np(OH)_{6}";"Hidróxido PerNeptúnico";"Hidŕoxido de Neptunio (VI)";"HexaHidróxido de MonoNeptunio";"NpO_{3} + 3H_{2}O \rightarrow Np(OH)_{6}";"93 - Np - Neptunio"
